,db,phi,h_x,h_y,cost,RV,Parameters
0,0.0,0.0,0.0,0.0,-1.2499999957588104e-05,0.16666666817471448,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
1,0.04081632653061224,0.0,0.0,0.0,-1.2499999967052755e-05,0.1666666688658977,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
2,0.08163265306122448,0.0,0.0,0.0,-1.2499999965359665e-05,0.16666666858612472,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
3,0.12244897959183673,0.0,0.0,0.0,-1.2499999961446129e-05,0.16666666785263182,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
4,0.16326530612244897,0.0,0.0,0.0,-1.2499999943293982e-05,0.1666666667261412,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
5,0.20408163265306123,0.0,0.0,0.0,-1.2499999954396213e-05,0.16666666775618824,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
6,0.24489795918367346,0.0,0.0,0.0,-1.2499999958781594e-05,0.16666666839549532,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
7,0.2857142857142857,0.0,0.0,0.0,-1.2499999968551556e-05,0.16666666855371606,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
8,0.32653061224489793,0.0,0.0,0.0,-1.2499999962833908e-05,0.16666666805171115,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
9,0.3673469387755102,0.0,0.0,0.0,-1.250000005165175e-05,0.16666666670698171,"""Dict{String Real}(""""s_u"""" => 0.5 """"h_x_bar"""" => 0.8341251495337715 """"h_x"""" => 0.8341251495337715 """"p_u"""" => 0.5 """"s_y"""" => 0.5 """"a"""" => 2 """"h_y_bar"""" => 0.5012587863341825 """"M"""" => 1 """"phi"""" => 1.0 """"s_ay"""" => 0.6 """"b_x"""" => 3 """"h_y"""" => 0.5012587863341825 """"b_y"""" => 5.0 """"s_x"""" => 0.5 """"p_a"""" => 0.25 """"s_ax"""" => 0.5)"""
