db,b,h_x,h_y,P,P2,GA,parameters,reason
1.0526315789473684,3.0,0.1665999999999884,0.12329999999999589,0.0,0.17053397801198586,0.18430625143870327,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.1578947368421053,3.0,0.18459999999998142,0.1332999999999871,0.0,0.1684664293661563,0.18148131391431124,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.263157894736842,3.0,0.20189999999961444,0.14199999999962107,0.0,0.16638137125141422,0.17868259607396558,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",too long
1.368421052631579,3.0,0.21829999999996835,0.1499999999999759,0.0,0.1642924741413885,0.17590834103279637,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.4736842105263157,3.0,0.23399999999996227,0.15689999999997079,0.0,0.1622112571964016,0.17318476184094367,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.5789473684210527,3.0,0.2490999999999564,0.1631999999999659,0.0,0.16013596016305276,0.17049553293203148,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.6842105263157894,3.0,0.26349999999995466,0.1687999999999613,0.0,0.1580805892048064,0.1678592790812394,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.7894736842105263,3.0,0.27729999999995314,0.1737999999999569,0.0,0.15604686117217673,0.1652751467918414,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.894736842105263,3.0,0.29069999999995166,0.1781999999999527,0.0,0.15403427376810228,0.16274308229628032,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
2.0,3.0,0.30349999999995025,0.1821999999999487,0.0,0.15205024002742204,0.16026443472287355,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.0,3.210526315789474,0.0,0.0,0.0,0.171311474221261,0.19197889262351178,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.10526315789473684,3.210526315789474,0.0,0.0,0.0,0.17131147411309508,0.1919788917169577,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.21052631578947367,3.210526315789474,0.0,0.0,0.0,0.17131147425522839,0.1919788919607111,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.3157894736842105,3.210526315789474,0.02279999999999981,0.020699999999999823,0.0,0.17037617841235786,0.19023286945186157,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.42105263157894735,3.210526315789474,0.04730000000000134,0.041800000000001176,0.0,0.1691103367616097,0.1880539064118641,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.5263157894736842,3.210526315789474,0.07020000000000302,0.06030000000000326,0.0,0.16768437888659768,0.18574266341076215,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.631578947368421,3.210526315789474,0.09180000000000364,0.07670000000000321,0.0,0.1661303329299733,0.18332979173075148,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.7368421052631579,3.210526315789474,0.11200000000000422,0.09110000000000362,0.0,0.16448883064529152,0.18086555205475874,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.8421052631578947,3.210526315789474,0.13120000000000212,0.10390000000000399,0.0,0.16277258726589816,0.1783576798955282,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.9473684210526315,3.210526315789474,0.1492999999999951,0.11540000000000432,0.0,0.16100766032135505,0.17583119248529416,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.0526315789473684,3.210526315789474,0.16649999999998844,0.125399999999993,0.0,0.15920995538454924,0.17331266836660422,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.1578947368421053,3.210526315789474,0.18289999999998208,0.13439999999998745,0.0,0.1573876680973367,0.1707993046097462,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.263157894736842,3.210526315789474,0.198599999999976,0.1424999999999822,0.0,0.15555023184832525,0.1683005776573715,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.368421052631579,3.210526315789474,0.21339999999997025,0.1496999999999773,0.0,0.1537166727310369,0.1658386511525774,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.4736842105263157,3.210526315789474,0.22779999999996467,0.1560999999999726,0.0,0.15187854869801218,0.16340281392780848,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.5789473684210527,3.210526315789474,0.2413999999999594,0.16189999999996818,0.0,0.15005457068444597,0.16100789113942726,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.6842105263157894,3.210526315789474,0.25449999999995565,0.16699999999996398,0.0,0.1482435970042349,0.1586563913272252,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.7894736842105263,3.210526315789474,0.26709999999995426,0.17159999999995998,0.0,0.14644810237092987,0.1563453875398822,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
1.894736842105263,3.210526315789474,0.27919999999995293,0.17569999999995617,0.0,0.14467307806038607,0.1540803902008364,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
2.0,3.210526315789474,0.29099999999995163,0.1792999999999525,0.0,0.14291683091123103,0.15185995551278608,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.0,3.4210526315789473,0.0,0.0,0.0,0.16076923166839702,0.18164727574196432,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.18349999999998184, ""h_x"" => 0.18349999999998184, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.14279999999998635, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.14279999999998635, ""b_y"" => 9.0, ""s_x"" => 0.45, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
