ds,s,h_x,h_y,P,P2,GA,parameters,reason
0.10526315789473684,0.2,0.13220000000000173,0.13210000000000177,0.0,0.15377069632399046,0.22452661320425726,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.11578947368421053,0.2,0.1533999999999935,0.15329999999999355,0.0,0.1521349870863135,0.21901604657959928,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.12631578947368421,0.2,0.17309999999961762,0.17299999999961765,0.0,0.15043237216650854,0.21358239267889662,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",too long
0.1368421052631579,0.2,0.19139999999997878,0.19129999999997882,0.0,0.1486759519244318,0.20824907144141455,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.14736842105263157,0.2,0.20869999999997207,0.2085999999999721,0.0,0.14686804235361797,0.20299833756950142,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.15789473684210525,0.2,0.22499999999996576,0.2248999999999658,0.0,0.14501834662078464,0.1978485748948352,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.16842105263157894,0.2,0.2404999999996102,0.24039999999961023,0.0,0.14312984221786676,0.192793069634793,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",too long
0.17894736842105263,0.2,0.25539999999995555,0.25529999999995556,0.0,0.1412042039332922,0.18782340949941984,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.18947368421052632,0.2,0.269599999999954,0.269499999999954,0.0,0.13924916146498503,0.182955586769428,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.2,0.2,0.2832999999999525,0.2831999999999525,0.0,0.13726448862695664,0.17817718603722438,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.0,0.22631578947368422,0.0,0.0,0.0,0.15473684255050277,0.23414801707782582,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.010526315789473684,0.22631578947368422,0.0,0.0,0.0,0.15473684261793733,0.2341480166891422,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
0.021052631578947368,0.22631578947368422,0.0,0.0,0.0,0.15473684255581516,0.23414801759156045,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.6257999999999148, ""h_x"" => 0.6257999999999148, ""p_u"" => 0.5, ""s_y"" => 0.8999999999999999, ""a"" => 2, ""h_y_bar"" => 0.6256999999999148, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 5, ""h_y"" => 0.6256999999999148, ""b_y"" => 5, ""s_x"" => 0.7, ""s_ax"" => 0.5, ""p_j"" => 0.25)",css found
